OCHUS               
 a b c d e f  F1F2F3
 0 0 0 0 0 0   0 0 0
 0 0 0 0 0 1   0 0 0
 0 0 0 0 1 0   0 0 0
 0 0 0 0 1 1   0 0 0
 0 0 0 1 0 0   0 0 0
 0 0 0 1 0 1   0 0 0
 0 0 0 1 1 0   0 0 0
 0 0 0 1 1 1   0 0 0
 0 0 1 0 0 0   0 0 0
 0 0 1 0 0 1   0 0 0
 0 0 1 0 1 0   0 0 0
 0 0 1 0 1 1   0 0 0
 0 0 1 1 0 0   0 0 0
 0 0 1 1 0 1   0 0 0
 0 0 1 1 1 0   0 0 0
 0 0 1 1 1 1   0 0 0
 0 1 0 0 0 0   0 0 0
 0 1 0 0 0 1   0 0 0
 0 1 0 0 1 0   0 0 0
 0 1 0 0 1 1   0 0 0
 0 1 0 1 0 0   0 0 0
 0 1 0 1 0 1   0 0 0
 0 1 0 1 1 0   0 0 0
 0 1 0 1 1 1   0 0 0
 0 1 1 0 0 0   0 0 0
 0 1 1 0 0 1   0 0 0
 0 1 1 0 1 0   0 0 0
 0 1 1 0 1 1   0 0 0
 0 1 1 1 0 0   0 0 0
 0 1 1 1 0 1   0 0 0
 0 1 1 1 1 0   0 0 0
 0 1 1 1 1 1   0 0 0
 1 0 0 0 0 0   0 0 0
 1 0 0 0 0 1   0 0 0
 1 0 0 0 1 0   0 0 0
 1 0 0 0 1 1   0 0 0
 1 0 0 1 0 0   0 0 0
 1 0 0 1 0 1   0 0 0
 1 0 0 1 1 0   0 0 0
 1 0 0 1 1 1   0 0 0
 1 0 1 0 0 0   0 0 0
 1 0 1 0 0 1   0 0 0
 1 0 1 0 1 0   0 0 0
 1 0 1 0 1 1   0 0 0
 1 0 1 1 0 0   0 0 0
 1 0 1 1 0 1   0 0 0
 1 0 1 1 1 0   0 0 0
 1 0 1 1 1 1   0 0 0
 1 1 0 0 0 0   0 0 0
 1 1 0 0 0 1   0 0 0
 1 1 0 0 1 0   0 0 0
 1 1 0 0 1 1   0 0 0
 1 1 0 1 0 0   0 0 0
 1 1 0 1 0 1   0 0 0
 1 1 0 1 1 0   0 0 0
 1 1 0 1 1 1   0 0 0
 1 1 1 0 0 0   0 0 0
 1 1 1 0 0 1   0 0 0
 1 1 1 0 1 0   0 0 0
 1 1 1 0 1 1   0 0 0
 1 1 1 1 0 0   0 0 0
 1 1 1 1 0 1   0 0 0
 1 1 1 1 1 0   0 0 0
 1 1 1 1 1 1   0 0 0
